category,pos,number,fact_statement,fact_fragment,was_submitted
+trivia,DT,208,208 is the number of the heaviest stable isotope of any element (lead).,the heaviest stable isotope of any element (lead).,FALSE
+trivia,DT,214,214 is the number of the number of Chinese radicals for the writing of Chinese characters according to the 1716 Kangxi Dictionary.,the number of Chinese radicals for the writing of Chinese characters according to the 1716 Kangxi Dictionary.,FALSE
+trivia,DT,227,"227 is the number of the number of days Pi Patel was at sea in the popular novel, Life of Pi.","the number of days Pi Patel was at sea in the popular novel, Life of Pi.",FALSE
+trivia,DT,243,"243 is the number of the number of Earth Days for the planet Venus to complete one Venetian day, one revolution.","the number of Earth Days for the planet Venus to complete one Venetian day, one revolution.",FALSE
+trivia,DT,270,270 is the number of the average number of days in human pregnancy.,the average number of days in human pregnancy.,FALSE
+trivia,DT,273,273 is the number of the death toll of the air crash of American Airlines Flight 191.,the death toll of the air crash of American Airlines Flight 191.,FALSE
+trivia,DT,160,160 is the number of the number of characters permitted in a standard short message service in Australia and Europe.,the number of characters permitted in a standard short message service in Australia and Europe.,FALSE
+trivia,DT,208,208 is the number of the heaviest stable isotope of any element (lead).,the heaviest stable isotope of any element (lead).,FALSE
+trivia,DT,214,214 is the number of the number of Chinese radicals for the writing of Chinese characters according to the 1716 Kangxi Dictionary.,the number of Chinese radicals for the writing of Chinese characters according to the 1716 Kangxi Dictionary.,FALSE
+trivia,DT,227,"227 is the number of the number of days Pi Patel was at sea in the popular novel, Life of Pi.","the number of days Pi Patel was at sea in the popular novel, Life of Pi.",FALSE
+trivia,DT,243,"243 is the number of the number of Earth Days for the planet Venus to complete one Venetian day, one revolution.","the number of Earth Days for the planet Venus to complete one Venetian day, one revolution.",FALSE
+trivia,DT,270,270 is the number of the average number of days in human pregnancy.,the average number of days in human pregnancy.,FALSE
+trivia,DT,273,273 is the number of the death toll of the air crash of American Airlines Flight 191.,the death toll of the air crash of American Airlines Flight 191.,FALSE
+trivia,DT,160,160 is the number of the number of characters permitted in a standard short message service in Australia and Europe.,the number of characters permitted in a standard short message service in Australia and Europe.,FALSE
+trivia,DT,24,24 is the number of the number of hours in a day.,the number of hours in a day.,FALSE
+trivia,DT,24,24 is the number of the number of hours in a day.,the number of hours in a day.,FALSE
+math,DT,44,44 is the number of derangements of 5 items.,the number of derangements of 5 items.,FALSE
+math,DT,270,270 is a harmonic divisor number.,a harmonic divisor number.,FALSE
+math,DT,270,270 is a harmonic divisor number.,a harmonic divisor number.,FALSE
+math,DT,44,44 is the number of derangements of 5 items.,the number of derangements of 5 items.,FALSE
+year,NNP,1985,1985 is the year that U.S. Vice President George H.W.,U.S. Vice President George H.W.,FALSE
+year,NNP,1985,1985 is the year that U.S. Vice President George H.W.,U.S. Vice President George H.W.,FALSE